subscription_id,customer_id,plan_id,status_code,subscription_start_date,subscription_end_date
sub_48_0,48,p2,pending,2024-11-23,
sub_49_0,49,p2,ACTIVE,2024-07-10,
sub_50_0,50,p3,Canceled,2024-02-14,2024-06-13
sub_51_0,51,p3,ACTIVE,2024-07-12,
sub_52_0,52,p2,pending,2024-09-27,
sub_53_0,53,p2,pending,2024-05-08,
sub_54_0,54,p2,pending,2024-12-03,
sub_55_0,55,p1,ACTIVE,2024-08-14,
sub_56_0,56,p1,active,2024-01-08,
sub_57_0,57,p1,Canceled,2024-09-06,2025-01-04
sub_58_0,58,p1,pending,2024-10-06,
sub_59_0,59,p1,pending,2024-04-05,
sub_60_0,60,p1,Cancelled,2024-11-04,2025-03-04
sub_60_1,60,p2,ACTIVE,2024-12-04,
sub_61_0,61,p1,pending,2024-10-25,
sub_62_0,62,p3,active,2024-08-27,
sub_63_0,63,p2,ACTIVE,2024-02-25,
sub_64_0,64,p1,Canceled,2024-11-15,2025-03-15
sub_65_0,65,p1,ACTIVE,2024-11-09,
sub_66_0,66,p2,pending,2024-09-12,
sub_67_0,67,p3,Cancelled,2024-06-20,2024-10-18
sub_68_0,68,p3,pending,2024-01-10,
sub_69_0,69,p2,Cancelled,2024-02-01,2024-05-31
sub_70_0,70,p1,active,2024-07-14,
sub_71_0,71,p1,ACTIVE,2024-02-14,
sub_72_0,72,p2,Canceled,2024-03-14,2024-07-12
sub_73_0,73,p1,Canceled,2024-02-20,2024-06-19
sub_74_0,74,p1,Canceled,2024-11-27,2025-03-27
sub_75_0,75,p2,Cancelled,2024-08-31,2024-12-29
sub_75_1,75,p3,Cancelled,2024-09-30,2025-01-28
sub_76_0,76,p1,Canceled,2024-08-15,2024-12-13
sub_77_0,77,p1,Canceled,2024-09-03,2025-01-01
sub_78_0,78,p3,Cancelled,2024-01-30,2024-05-29
sub_79_0,79,p3,Cancelled,2024-07-02,2024-10-30
sub_80_0,80,p2,Canceled,2024-08-04,2024-12-02
sub_81_0,81,p3,active,2024-06-25,
sub_82_0,82,p1,Canceled,2024-06-10,2024-10-08
sub_83_0,83,p2,ACTIVE,2024-09-21,
sub_84_0,84,p1,active,2024-04-08,
sub_85_0,85,p2,active,2024-06-12,
sub_86_0,86,p3,pending,2024-09-09,
sub_87_0,87,p2,pending,2024-12-24,
sub_88_0,88,p2,ACTIVE,2024-08-27,
sub_89_0,89,p2,Canceled,2024-05-11,2024-09-08
sub_90_0,90,p3,active,2024-01-07,
sub_90_1,90,p1,Cancelled,2024-02-06,2024-06-05
sub_91_0,91,p1,Canceled,2024-06-14,2024-10-12
sub_92_0,92,p1,Cancelled,2024-06-10,2024-10-08
sub_93_0,93,p3,pending,2024-02-21,
sub_94_0,94,p2,Canceled,2024-09-24,2025-01-22
sub_95_0,95,p2,pending,2024-08-01,
sub_96_0,96,p3,pending,2024-11-03,
sub_97_0,97,p1,Cancelled,2024-10-20,2025-02-17
sub_98_0,98,p3,pending,2024-02-01,
sub_99_0,99,p3,active,2024-01-19,
sub_100_0,100,p1,pending,2024-12-22,
sub_101_0,101,p2,Canceled,2024-03-05,2024-07-03
sub_102_0,102,p3,Cancelled,2024-11-15,2025-03-15
sub_103_0,103,p3,Cancelled,2024-02-07,2024-06-06
sub_104_0,104,p2,Cancelled,2024-12-04,2025-04-03
sub_105_0,105,p1,Canceled,2024-07-13,2024-11-10
sub_105_1,105,p3,Cancelled,2024-08-12,2024-12-10
sub_106_0,106,p1,Cancelled,2024-02-09,2024-06-08
sub_107_0,107,p2,pending,2024-12-21,
sub_108_0,108,p2,Cancelled,2024-03-19,2024-07-17
sub_109_0,109,p2,Cancelled,2024-04-24,2024-08-22
sub_110_0,110,p3,active,2024-05-17,
sub_111_0,111,p3,Cancelled,2024-09-18,2025-01-16
sub_112_0,112,p3,ACTIVE,2024-03-19,
sub_113_0,113,p2,active,2024-08-28,
sub_114_0,114,p3,ACTIVE,2024-01-21,
sub_115_0,115,p3,Cancelled,2024-10-08,2025-02-05
sub_116_0,116,p3,Cancelled,2024-10-12,2025-02-09
sub_117_0,117,p3,pending,2024-04-22,
sub_118_0,118,p1,pending,2024-06-25,
sub_119_0,119,p3,Cancelled,2024-05-12,2024-09-09
sub_120_0,120,p1,Cancelled,2024-04-04,2024-08-02
sub_120_1,120,p2,pending,2024-05-04,
sub_121_0,121,p2,pending,2024-11-14,
sub_122_0,122,p3,ACTIVE,2024-03-09,
sub_123_0,123,p1,ACTIVE,2024-05-15,
sub_124_0,124,p2,Canceled,2024-08-23,2024-12-21
sub_125_0,125,p1,active,2024-12-22,
sub_126_0,126,p2,Canceled,2024-07-31,2024-11-28
sub_127_0,127,p1,Canceled,2024-03-31,2024-07-29
sub_128_0,128,p1,active,2024-04-01,
sub_129_0,129,p1,Cancelled,2024-04-17,2024-08-15
sub_130_0,130,p3,Cancelled,2024-04-16,2024-08-14
sub_131_0,131,p3,Canceled,2024-12-21,2025-04-20
sub_132_0,132,p2,ACTIVE,2024-04-08,
sub_133_0,133,p3,active,2024-04-03,
sub_134_0,134,p2,Canceled,2024-06-06,2024-10-04
sub_135_0,135,p3,pending,2024-05-20,
sub_135_1,135,p2,active,2024-06-19,
sub_136_0,136,p2,ACTIVE,2024-09-13,
sub_137_0,137,p3,Canceled,2024-01-04,2024-05-03
sub_138_0,138,p2,pending,2024-12-31,
sub_139_0,139,p1,Canceled,2024-05-25,2024-09-22
sub_140_0,140,p3,pending,2024-11-14,
sub_141_0,141,p1,Canceled,2024-02-14,2024-06-13
sub_142_0,142,p1,ACTIVE,2024-09-24,
sub_143_0,143,p2,pending,2024-07-19,
sub_144_0,144,p2,active,2024-01-12,
sub_145_0,145,p1,Cancelled,2024-09-01,2024-12-30
sub_146_0,146,p2,active,2024-08-19,
sub_147_0,147,p1,Cancelled,2024-06-30,2024-10-28
sub_148_0,148,p1,pending,2024-04-30,
sub_149_0,149,p2,ACTIVE,2024-06-15,
sub_150_0,150,p3,active,2024-10-12,
sub_150_1,150,p2,active,2024-11-11,
sub_151_0,151,p2,Canceled,2024-01-30,2024-05-29
sub_152_0,152,p2,Cancelled,2024-06-27,2024-10-25
sub_153_0,153,p2,pending,2024-05-29,
sub_154_0,154,p3,Cancelled,2024-02-26,2024-06-25
sub_155_0,155,p1,Canceled,2024-07-15,2024-11-12
sub_156_0,156,p1,active,2024-06-19,
sub_157_0,157,p3,Canceled,2024-06-25,2024-10-23
sub_158_0,158,p1,pending,2024-01-31,
sub_159_0,159,p3,ACTIVE,2024-07-15,
sub_160_0,160,p1,Canceled,2024-12-26,2025-04-25
sub_161_0,161,p2,pending,2024-10-23,
sub_162_0,162,p3,Cancelled,2024-10-30,2025-02-27
sub_163_0,163,p1,active,2024-05-15,
sub_164_0,164,p1,ACTIVE,2024-10-18,
sub_165_0,165,p3,active,2024-02-06,
sub_165_1,165,p3,Canceled,2024-03-07,2024-07-05
sub_166_0,166,p3,active,2024-07-31,
sub_167_0,167,p3,Canceled,2024-10-08,2025-02-05
sub_168_0,168,p1,ACTIVE,2024-08-04,
sub_169_0,169,p1,pending,2024-02-22,
sub_170_0,170,p3,Canceled,2024-05-20,2024-09-17
sub_171_0,171,p2,ACTIVE,2024-05-20,
sub_172_0,172,p1,Cancelled,2024-05-15,2024-09-12
sub_173_0,173,p3,Canceled,2024-05-19,2024-09-16
sub_174_0,174,p2,pending,2024-10-03,
sub_175_0,175,p3,ACTIVE,2024-02-02,
sub_176_0,176,p1,ACTIVE,2024-04-02,
sub_177_0,177,p1,Canceled,2024-07-23,2024-11-20
sub_178_0,178,p1,pending,2024-05-26,
sub_179_0,179,p1,active,2024-07-08,
sub_180_0,180,p3,Canceled,2024-04-25,2024-08-23
sub_180_1,180,p3,Canceled,2024-05-25,2024-09-22
sub_181_0,181,p2,Canceled,2024-03-02,2024-06-30
sub_182_0,182,p3,pending,2024-12-03,
sub_183_0,183,p2,pending,2024-07-17,
sub_184_0,184,p2,pending,2024-04-06,
sub_185_0,185,p3,Cancelled,2024-03-10,2024-07-08
sub_186_0,186,p2,active,2024-11-17,
sub_187_0,187,p2,Canceled,2024-08-01,2024-11-29
sub_188_0,188,p2,Canceled,2024-12-03,2025-04-02
sub_189_0,189,p1,pending,2024-12-13,
sub_190_0,190,p1,active,2024-03-28,
sub_191_0,191,p2,Cancelled,2024-06-23,2024-10-21
sub_192_0,192,p3,ACTIVE,2024-01-24,
sub_193_0,193,p1,Cancelled,2024-06-25,2024-10-23
sub_194_0,194,p2,pending,2024-02-20,
sub_195_0,195,p3,ACTIVE,2024-09-09,
sub_195_1,195,p2,ACTIVE,2024-10-09,
sub_196_0,196,p3,active,2024-02-14,
sub_197_0,197,p3,Cancelled,2024-06-24,2024-10-22
sub_198_0,198,p1,pending,2024-12-17,
sub_199_0,199,p1,Cancelled,2024-06-04,2024-10-02
sub_200_0,200,p3,Cancelled,2024-10-04,2025-02-01
sub_201_0,201,p1,pending,2024-11-26,
sub_202_0,202,p1,active,2024-05-18,
sub_203_0,203,p1,pending,2024-12-28,
sub_204_0,204,p1,pending,2024-10-01,
sub_205_0,205,p1,Cancelled,2024-11-26,2025-03-26
sub_206_0,206,p1,ACTIVE,2024-03-28,
sub_207_0,207,p2,ACTIVE,2024-07-11,
sub_208_0,208,p2,pending,2024-11-14,
sub_209_0,209,p3,active,2024-03-23,
sub_210_0,210,p1,Canceled,2024-07-12,2024-11-09
sub_210_1,210,p3,Cancelled,2024-08-11,2024-12-09
sub_211_0,211,p1,pending,2024-07-09,
sub_212_0,212,p3,Cancelled,2024-10-03,2025-01-31
sub_213_0,213,p1,Canceled,2024-11-21,2025-03-21
sub_214_0,214,p1,pending,2024-05-19,
sub_215_0,215,p1,active,2024-10-02,
sub_216_0,216,p2,pending,2024-06-26,
sub_217_0,217,p2,Canceled,2024-10-23,2025-02-20
sub_218_0,218,p2,Cancelled,2024-12-15,2025-04-14
sub_219_0,219,p1,Cancelled,2024-10-10,2025-02-07
sub_220_0,220,p3,pending,2024-01-13,
sub_221_0,221,p3,Cancelled,2024-03-04,2024-07-02
sub_222_0,222,p1,Canceled,2024-07-01,2024-10-29
sub_223_0,223,p2,ACTIVE,2024-01-31,
sub_224_0,224,p2,Canceled,2024-10-16,2025-02-13
sub_225_0,225,p1,active,2024-09-04,
sub_225_1,225,p2,active,2024-10-04,
sub_226_0,226,p2,Cancelled,2024-08-14,2024-12-12
sub_227_0,227,p3,Canceled,2024-04-13,2024-08-11
sub_228_0,228,p3,ACTIVE,2024-10-18,
sub_229_0,229,p2,ACTIVE,2024-01-26,
sub_230_0,230,p2,active,2024-01-06,
sub_231_0,231,p1,Cancelled,2024-06-21,2024-10-19
sub_232_0,232,p2,Canceled,2024-02-16,2024-06-15
sub_233_0,233,p3,ACTIVE,2024-06-11,
sub_234_0,234,p3,ACTIVE,2024-05-09,
sub_235_0,235,p1,pending,2024-09-03,
sub_236_0,236,p1,Canceled,2024-08-05,2024-12-03
sub_237_0,237,p1,pending,2024-02-07,
sub_238_0,238,p2,active,2024-05-25,
sub_239_0,239,p2,Cancelled,2024-04-03,2024-08-01
sub_240_0,240,p3,Canceled,2024-03-09,2024-07-07
sub_240_1,240,p3,Canceled,2024-04-08,2024-08-06
sub_241_0,241,p1,Cancelled,2024-12-13,2025-04-12
sub_242_0,242,p2,Canceled,2024-09-08,2025-01-06
sub_243_0,243,p1,pending,2024-04-04,
sub_244_0,244,p1,Cancelled,2024-07-11,2024-11-08
sub_245_0,245,p1,active,2024-11-18,
sub_246_0,246,p2,Canceled,2024-12-15,2025-04-14
sub_247_0,247,p2,ACTIVE,2024-04-07,
sub_248_0,248,p3,ACTIVE,2024-01-05,
sub_249_0,249,p2,ACTIVE,2024-10-23,
sub_250_0,250,p2,active,2024-11-13,
sub_251_0,251,p3,ACTIVE,2024-09-24,
sub_252_0,252,p2,Cancelled,2024-02-24,2024-06-23
sub_253_0,253,p1,ACTIVE,2024-04-08,
sub_254_0,254,p3,active,2024-11-17,
sub_255_0,255,p1,pending,2024-12-25,
sub_255_1,255,p3,Canceled,2025-01-24,2025-05-24
sub_256_0,256,p1,Cancelled,2024-05-24,2024-09-21
sub_257_0,257,p3,active,2024-07-31,
sub_258_0,258,p2,ACTIVE,2024-03-25,
sub_259_0,259,p3,active,2024-07-20,
sub_260_0,260,p1,pending,2024-02-26,
sub_261_0,261,p3,Canceled,2024-02-22,2024-06-21
sub_262_0,262,p1,ACTIVE,2024-02-09,
sub_263_0,263,p1,Cancelled,2024-05-29,2024-09-26
sub_264_0,264,p2,pending,2024-03-14,
sub_265_0,265,p2,ACTIVE,2024-01-29,
sub_266_0,266,p3,pending,2024-03-17,
sub_267_0,267,p2,ACTIVE,2024-01-16,
sub_268_0,268,p1,active,2024-05-14,
sub_269_0,269,p1,ACTIVE,2024-05-13,
sub_270_0,270,p2,Cancelled,2024-03-06,2024-07-04
sub_270_1,270,p1,Cancelled,2024-04-05,2024-08-03
sub_271_0,271,p3,Canceled,2024-07-06,2024-11-03
sub_272_0,272,p2,ACTIVE,2024-08-29,
sub_273_0,273,p2,active,2024-04-07,
sub_274_0,274,p3,Canceled,2024-08-13,2024-12-11
sub_275_0,275,p2,Cancelled,2024-10-24,2025-02-21
sub_276_0,276,p1,Canceled,2024-01-21,2024-05-20
sub_277_0,277,p1,pending,2024-10-09,
sub_278_0,278,p3,Canceled,2024-03-28,2024-07-26
sub_279_0,279,p2,active,2024-07-10,
sub_280_0,280,p2,Canceled,2024-12-28,2025-04-27
sub_281_0,281,p1,active,2024-05-27,
sub_282_0,282,p2,Canceled,2024-07-01,2024-10-29
sub_283_0,283,p2,Cancelled,2024-08-21,2024-12-19
sub_284_0,284,p2,Cancelled,2024-06-12,2024-10-10
sub_285_0,285,p3,Cancelled,2024-07-11,2024-11-08
sub_285_1,285,p2,ACTIVE,2024-08-10,
sub_286_0,286,p3,pending,2024-11-21,
sub_287_0,287,p1,Canceled,2024-04-14,2024-08-12
sub_288_0,288,p1,pending,2024-06-22,
sub_289_0,289,p3,active,2024-10-28,
sub_290_0,290,p3,Cancelled,2024-09-06,2025-01-04
sub_291_0,291,p2,ACTIVE,2024-10-13,
sub_292_0,292,p2,Cancelled,2024-11-22,2025-03-22
sub_293_0,293,p1,pending,2024-03-01,
sub_294_0,294,p3,Cancelled,2024-10-11,2025-02-08
sub_295_0,295,p2,Canceled,2024-05-22,2024-09-19
sub_296_0,296,p1,active,2024-12-18,
sub_297_0,297,p2,Cancelled,2024-08-27,2024-12-25
sub_298_0,298,p2,ACTIVE,2024-02-08,
sub_299_0,299,p1,Cancelled,2024-06-12,2024-10-10
sub_300_0,300,p2,ACTIVE,2024-11-10,
sub_300_1,300,p2,Cancelled,2024-12-10,2025-04-09
sub_301_0,301,p2,Cancelled,2024-02-13,2024-06-12
sub_302_0,302,p1,ACTIVE,2024-04-26,
sub_303_0,303,p1,active,2024-06-09,
sub_304_0,304,p1,Canceled,2024-09-07,2025-01-05
sub_305_0,305,p2,Cancelled,2024-08-27,2024-12-25
sub_306_0,306,p3,Canceled,2024-06-09,2024-10-07
sub_307_0,307,p2,ACTIVE,2024-10-15,
sub_308_0,308,p3,ACTIVE,2024-03-02,
sub_309_0,309,p2,ACTIVE,2024-04-22,
sub_310_0,310,p3,pending,2024-09-26,
sub_311_0,311,p2,ACTIVE,2024-04-04,
sub_312_0,312,p2,pending,2024-01-15,
sub_313_0,313,p3,Canceled,2024-05-22,2024-09-19
sub_314_0,314,p2,pending,2024-04-16,
sub_315_0,315,p1,Cancelled,2024-07-29,2024-11-26
sub_315_1,315,p3,active,2024-08-28,
sub_316_0,316,p1,Cancelled,2024-03-22,2024-07-20
sub_317_0,317,p2,active,2024-07-08,
sub_318_0,318,p2,active,2024-02-22,
sub_319_0,319,p1,Cancelled,2024-04-04,2024-08-02
sub_320_0,320,p1,pending,2024-11-10,
sub_321_0,321,p1,Cancelled,2024-06-10,2024-10-08
sub_322_0,322,p3,Cancelled,2024-07-26,2024-11-23
sub_323_0,323,p3,Cancelled,2024-12-18,2025-04-17
sub_324_0,324,p2,ACTIVE,2024-07-31,
sub_325_0,325,p1,Canceled,2024-08-17,2024-12-15
sub_326_0,326,p2,pending,2024-11-27,
sub_327_0,327,p1,ACTIVE,2024-06-12,
sub_328_0,328,p3,Cancelled,2024-01-21,2024-05-20
sub_329_0,329,p1,active,2024-11-25,
sub_330_0,330,p3,active,2024-02-15,
sub_330_1,330,p2,Canceled,2024-03-16,2024-07-14
sub_331_0,331,p2,Cancelled,2024-05-04,2024-09-01
sub_332_0,332,p3,Canceled,2024-03-14,2024-07-12
sub_333_0,333,p2,Cancelled,2024-06-28,2024-10-26
sub_334_0,334,p3,pending,2024-05-21,
sub_335_0,335,p2,active,2024-12-27,
sub_336_0,336,p1,active,2024-07-18,
sub_337_0,337,p1,pending,2024-12-01,
sub_338_0,338,p1,Cancelled,2024-07-07,2024-11-04
sub_339_0,339,p1,ACTIVE,2024-08-14,
sub_340_0,340,p3,ACTIVE,2024-10-25,
sub_341_0,341,p1,active,2024-11-02,
sub_342_0,342,p3,ACTIVE,2024-10-30,
sub_343_0,343,p1,Canceled,2024-01-05,2024-05-04
sub_344_0,344,p3,active,2024-11-06,
sub_345_0,345,p2,pending,2024-10-06,
sub_345_1,345,p3,active,2024-11-05,
sub_346_0,346,p2,Cancelled,2024-06-02,2024-09-30
sub_347_0,347,p3,Canceled,2024-09-04,2025-01-02
sub_348_0,348,p2,active,2024-11-22,
sub_349_0,349,p1,active,2024-11-12,
sub_350_0,350,p2,Canceled,2024-05-31,2024-09-28
sub_351_0,351,p3,pending,2024-08-30,
sub_352_0,352,p2,Cancelled,2024-10-12,2025-02-09
sub_353_0,353,p3,Canceled,2024-03-15,2024-07-13
sub_354_0,354,p2,ACTIVE,2024-01-14,
sub_355_0,355,p1,ACTIVE,2024-12-01,
sub_356_0,356,p1,active,2024-02-02,
sub_357_0,357,p1,Canceled,2024-11-10,2025-03-10
sub_358_0,358,p1,active,2024-01-21,
sub_359_0,359,p3,ACTIVE,2024-04-03,
sub_360_0,360,p2,active,2024-03-16,
sub_360_1,360,p2,Canceled,2024-04-15,2024-08-13
sub_361_0,361,p1,ACTIVE,2024-10-11,
sub_362_0,362,p1,Cancelled,2024-02-05,2024-06-04
sub_363_0,363,p1,ACTIVE,2024-07-28,
sub_364_0,364,p1,ACTIVE,2024-03-23,
sub_365_0,365,p3,Canceled,2024-01-18,2024-05-17
sub_366_0,366,p3,active,2024-10-08,
sub_367_0,367,p3,Cancelled,2024-04-04,2024-08-02
sub_368_0,368,p2,active,2024-04-28,
sub_369_0,369,p3,active,2024-11-13,
sub_370_0,370,p3,ACTIVE,2024-01-27,
sub_371_0,371,p2,pending,2024-07-18,
sub_372_0,372,p3,Canceled,2024-10-28,2025-02-25
sub_373_0,373,p2,Canceled,2024-08-03,2024-12-01
sub_374_0,374,p2,Canceled,2024-01-11,2024-05-10
sub_375_0,375,p2,Cancelled,2024-08-24,2024-12-22
sub_375_1,375,p2,active,2024-09-23,
sub_376_0,376,p2,Canceled,2024-03-04,2024-07-02
sub_377_0,377,p1,ACTIVE,2024-03-09,
sub_378_0,378,p1,Cancelled,2024-01-10,2024-05-09
sub_379_0,379,p2,ACTIVE,2024-01-15,
sub_380_0,380,p2,Cancelled,2024-09-06,2025-01-04
sub_381_0,381,p1,ACTIVE,2024-03-15,
sub_382_0,382,p1,Cancelled,2024-10-30,2025-02-27
sub_383_0,383,p3,ACTIVE,2024-10-31,
sub_384_0,384,p1,active,2024-11-08,
sub_385_0,385,p2,Cancelled,2024-02-10,2024-06-09
sub_386_0,386,p1,pending,2024-12-10,
sub_387_0,387,p2,pending,2024-06-09,
sub_388_0,388,p1,pending,2024-05-18,
sub_389_0,389,p1,Cancelled,2024-12-03,2025-04-02
sub_390_0,390,p1,Cancelled,2024-05-08,2024-09-05
sub_390_1,390,p3,active,2024-06-07,
sub_391_0,391,p1,ACTIVE,2024-08-16,
sub_392_0,392,p3,pending,2024-08-26,
sub_393_0,393,p3,Canceled,2024-09-08,2025-01-06
sub_394_0,394,p3,pending,2024-08-18,
sub_395_0,395,p3,ACTIVE,2024-12-15,
sub_396_0,396,p2,ACTIVE,2024-05-30,
sub_397_0,397,p3,Canceled,2024-10-13,2025-02-10
sub_398_0,398,p1,Cancelled,2024-12-04,2025-04-03
sub_399_0,399,p3,Canceled,2024-09-03,2025-01-01
sub_400_0,400,p3,Cancelled,2024-11-08,2025-03-08
sub_401_0,401,p1,ACTIVE,2024-05-14,
sub_402_0,402,p2,active,2024-09-02,
sub_403_0,403,p3,pending,2024-01-16,
sub_404_0,404,p3,Canceled,2024-10-23,2025-02-20
sub_405_0,405,p2,pending,2024-06-25,
sub_405_1,405,p1,pending,2024-07-25,
sub_406_0,406,p3,Canceled,2024-12-22,2025-04-21
sub_407_0,407,p3,pending,2024-03-14,
sub_408_0,408,p1,Canceled,2024-07-01,2024-10-29
sub_409_0,409,p2,active,2024-01-25,
sub_410_0,410,p3,Canceled,2024-07-31,2024-11-28
sub_411_0,411,p1,ACTIVE,2024-01-29,
sub_412_0,412,p2,active,2024-08-31,
sub_413_0,413,p1,Cancelled,2024-10-08,2025-02-05
sub_414_0,414,p2,active,2024-07-29,
sub_415_0,415,p3,Canceled,2024-08-12,2024-12-10
sub_416_0,416,p2,Canceled,2024-04-16,2024-08-14
sub_417_0,417,p2,ACTIVE,2024-09-27,
sub_418_0,418,p3,Canceled,2024-06-23,2024-10-21
sub_419_0,419,p3,Cancelled,2024-04-24,2024-08-22
sub_420_0,420,p1,active,2024-03-01,
sub_420_1,420,p2,active,2024-03-31,
sub_421_0,421,p2,ACTIVE,2024-10-18,
sub_422_0,422,p2,Cancelled,2024-10-02,2025-01-30
sub_423_0,423,p1,Cancelled,2024-03-09,2024-07-07
sub_424_0,424,p2,Canceled,2024-04-10,2024-08-08
sub_425_0,425,p1,Cancelled,2024-06-23,2024-10-21
sub_426_0,426,p2,Canceled,2024-04-15,2024-08-13
sub_427_0,427,p3,Canceled,2024-09-07,2025-01-05
sub_428_0,428,p1,pending,2024-03-24,
sub_429_0,429,p1,active,2024-01-25,
sub_430_0,430,p2,Canceled,2024-10-30,2025-02-27
sub_431_0,431,p2,active,2024-02-16,
sub_432_0,432,p1,Cancelled,2024-12-27,2025-04-26
sub_433_0,433,p1,Canceled,2024-08-10,2024-12-08
sub_434_0,434,p3,active,2024-04-17,
sub_435_0,435,p1,pending,2024-07-31,
sub_435_1,435,p2,Cancelled,2024-08-30,2024-12-28
sub_436_0,436,p2,Cancelled,2024-03-18,2024-07-16
sub_437_0,437,p2,pending,2024-08-24,
sub_438_0,438,p2,Cancelled,2024-04-22,2024-08-20
sub_439_0,439,p3,ACTIVE,2024-05-26,
sub_440_0,440,p3,Canceled,2024-10-24,2025-02-21
sub_441_0,441,p2,ACTIVE,2024-08-24,
sub_442_0,442,p2,Canceled,2024-10-17,2025-02-14
sub_443_0,443,p2,Cancelled,2024-07-24,2024-11-21
sub_444_0,444,p3,ACTIVE,2024-01-19,
sub_445_0,445,p2,Canceled,2024-09-12,2025-01-10
sub_446_0,446,p1,active,2024-06-04,
sub_447_0,447,p3,ACTIVE,2024-09-02,
sub_448_0,448,p1,Cancelled,2024-08-12,2024-12-10
sub_449_0,449,p1,ACTIVE,2024-11-02,
sub_450_0,450,p2,Cancelled,2024-05-30,2024-09-27
sub_450_1,450,p1,active,2024-06-29,
sub_451_0,451,p2,Cancelled,2024-08-11,2024-12-09
sub_452_0,452,p1,Cancelled,2024-05-01,2024-08-29
sub_453_0,453,p3,active,2024-03-06,
sub_454_0,454,p1,Canceled,2024-01-16,2024-05-15
sub_455_0,455,p1,Cancelled,2024-05-13,2024-09-10
sub_456_0,456,p2,Canceled,2024-10-14,2025-02-11
sub_457_0,457,p1,active,2024-10-28,
sub_458_0,458,p3,active,2024-11-24,
sub_459_0,459,p1,pending,2024-02-20,
sub_460_0,460,p3,Cancelled,2024-05-04,2024-09-01
sub_461_0,461,p2,active,2024-05-31,
sub_462_0,462,p1,pending,2024-06-08,
sub_463_0,463,p1,ACTIVE,2024-03-15,
sub_464_0,464,p1,Canceled,2024-11-30,2025-03-30
sub_465_0,465,p2,Canceled,2024-07-18,2024-11-15
sub_465_1,465,p1,active,2024-08-17,
sub_466_0,466,p2,active,2024-12-24,
sub_467_0,467,p2,active,2024-04-12,
sub_468_0,468,p1,ACTIVE,2024-12-03,
sub_469_0,469,p3,pending,2024-06-25,
sub_470_0,470,p1,ACTIVE,2024-06-21,
sub_471_0,471,p3,Canceled,2024-09-10,2025-01-08
sub_472_0,472,p1,pending,2024-07-19,
sub_473_0,473,p1,Cancelled,2024-12-21,2025-04-20
sub_474_0,474,p1,pending,2024-09-16,
sub_475_0,475,p3,Canceled,2024-02-01,2024-05-31
sub_476_0,476,p2,active,2024-07-17,
sub_477_0,477,p2,ACTIVE,2024-10-31,
sub_478_0,478,p1,Canceled,2024-06-27,2024-10-25
sub_479_0,479,p3,active,2024-08-19,
sub_480_0,480,p2,Cancelled,2024-05-26,2024-09-23
sub_480_1,480,p3,active,2024-06-25,
